home_team,away_team,batter_team,batter_name,pitcher_name,bb_type,bearing,plate_x,plate_z,pitch_mph,launch_speed,launch_angle,is_home_run
DET,MIN,MIN,"vargas, ildemaro","boyd, matt",popup,center,0.06,3.99,90.3,74.1,57.0,0
SD,TEX,SD,"hosmer, eric","hernandez, jonathan",ground_ball,center,-0.5,1.91,91.0,97.0,-14.0,0
CWS,DET,DET,"candelario, jeimer","marshall, evan",ground_ball,left,-0.92,2.13,86.5,84.2,-15.0,0
WSH,PHI,PHI,"kingery, scott","suero, wander",fly_ball,right,0.68,2.37,92.0,78.0,,0
BOS,NYY,BOS,"lin, tzu-wei","loaisiga, jonathan",ground_ball,center,-0.21,2.4,88.5,,-45.0,0
BOS,BAL,BOS,"martinez, j. d.","cobb, alex",line_drive,left,-0.78,2.53,91.2,94.7,,0
PIT,CIN,PIT,"bell, josh","antone, tejay",ground_ball,center,0.54,2.55,95.0,,-7.0,0
DET,CIN,CIN,"suarez, eugenio","turnbull, spencer",fly_ball,right,-0.08,1.69,94.7,99.1,46.0,0
LAA,OAK,OAK,"piscotty, stephen","canning, griffin",ground_ball,left,0.48,2.11,88.7,69.1,,0
TOR,NYY,TOR,"gurriel, lourdes","tanaka, masahiro",ground_ball,center,0.3,2.22,84.9,,,0
MIA,NYM,NYM,"nimmo, brandon","mejia, humberto",line_drive,left,0.39,2.9,93.1,100.6,12.0,0
CLE,NYY,CLE,"deshields, delino","cole, gerrit",line_drive,center,0.29,2.46,95.3,103.7,12.0,0
MIL,STL,STL,"dejong, paul","lindblom, josh",line_drive,center,-0.36,1.95,72.0,70.8,23.0,0
HOU,SEA,HOU,"reddick, josh","walker, taijuan",ground_ball,center,-0.98,2.39,88.2,78.2,-2.0,0
DET,CLE,DET,"castro, willi","civale, aaron",line_drive,right,0.64,2.44,74.7,,13.0,0
SF,TEX,TEX,"choo, shin-soo","peralta, wandy",ground_ball,center,-0.28,2.17,95.8,,-23.0,0
MIL,CIN,CIN,"jankowski, travis","claudio, alex",ground_ball,left,0.38,2.69,83.4,101.3,,0
ATL,TOR,ATL,"freeman, freddie","kay, anthony",ground_ball,center,0.09,2.84,76.7,93.4,-2.0,0
WSH,TB,TB,"wendle, joey","scherzer, max",line_drive,right,-0.92,1.25,85.0,75.8,22.0,0
NYY,BAL,BAL,"valaika, pat","green, chad",ground_ball,left,0.02,0.95,83.7,77.7,-6.0,0
ARI,OAK,ARI,"ahmed, nick","bassitt, chris",ground_ball,center,0.76,1.87,70.3,,,0
ARI,OAK,OAK,"chapman, matt","gallen, zac",ground_ball,center,0.45,1.54,89.0,70.3,,0
HOU,SEA,SEA,"vogelbach, dan","verlander, justin",ground_ball,center,-0.9,2.97,84.8,60.1,-15.0,0
CHC,MIN,CHC,"rizzo, anthony","hill, rich",fly_ball,center,0.41,2.35,84.4,80.8,32.0,0
SF,TEX,SF,"flores, wilmer","minor, mike",fly_ball,center,-0.08,1.76,84.5,97.2,38.0,0
CWS,PIT,PIT,"bell, josh","giolito, lucas",ground_ball,center,-0.25,3.01,81.4,75.6,-3.0,0
SF,SEA,SF,"solano, donovan","lail, brady",line_drive,left,-0.1,2.24,84.9,91.6,15.0,0
LAD,SF,SF,"ruf, darin","santana, dennis",line_drive,right,0.46,2.5,82.2,97.2,13.0,0
SF,SD,SD,"mateo, jorge","cahill, trevor",fly_ball,right,0.06,2.31,84.5,95.0,,0
PHI,ATL,PHI,"mccutchen, andrew","jackson, luke",line_drive,left,-0.19,2.91,95.8,,,0
DET,KC,DET,"alcantara, sergio","singer, brady",fly_ball,right,0.98,1.67,93.1,90.4,,0
NYY,MIA,MIA,"aguilar, jesus","loaisiga, jonathan",popup,center,0.07,2.93,97.9,,61.0,0
SEA,TEX,SEA,"haggerty, sam","lyles, jordan",ground_ball,center,-0.61,1.79,92.6,83.8,-7.0,0
CHC,STL,STL,"carlson, dylan","darvish, yu",ground_ball,center,-0.32,2.76,82.2,,7.0,0
NYM,BAL,BAL,"mullins, cedric","wacha, michael",line_drive,right,0.1,1.72,94.0,98.4,11.0,0
TEX,LAA,TEX,"andrus, elvis","ramirez, noe",line_drive,right,-0.15,1.9,83.4,,27.0,0
SF,ARI,ARI,"escobar, eduardo","selman, sam",popup,right,-0.12,2.16,79.9,86.2,,0
SF,COL,COL,"tapia, raimel","coonrod, sam",popup,left,0.42,3.07,99.4,,,0
TOR,TB,TOR,"grichuk, randal","loup, aaron",ground_ball,left,-0.41,2.21,86.6,,-2.0,0
CLE,KC,KC,"gordon, alex","plesac, zach",ground_ball,left,0.53,2.67,92.4,66.7,8.0,0
PHI,BOS,PHI,"harper, bryce","perez, martin",ground_ball,left,1.19,3.07,89.9,54.5,-12.0,0
STL,PIT,PIT,"gonzalez, erik","webb, tyler",line_drive,right,0.84,1.86,76.1,92.0,21.0,0
LAD,ARI,ARI,"walker, christian","alexander, scott",fly_ball,left,-0.28,2.16,94.4,94.2,41.0,0
SD,STL,STL,"edman, tommy","morejón, adrián",ground_ball,left,0.41,1.38,84.5,94.7,,0
HOU,ARI,HOU,"díaz, aledmys","weaver, luke",ground_ball,center,0.99,2.21,94.2,91.6,-29.0,0
BAL,NYY,NYY,"lemahieu, dj","wojciechowski, asher",ground_ball,left,0.83,2.15,77.9,72.2,,0
ATL,LAD,ATL,"riley, austin","graterol, brusdar",ground_ball,center,-0.43,2.32,97.1,,-2.0,0
SD,HOU,HOU,"springer, george","davies, zach",popup,center,0.38,2.09,86.5,,68.0,0
OAK,ARI,OAK,"semien, marcus","clarke, taylor",line_drive,right,0.52,2.18,94.5,,22.0,0
WSH,TB,TB,"choi, ji-man","scherzer, max",popup,center,0.31,3.42,96.2,79.1,,0
DET,MIL,DET,"castro, willi","houser, adrian",line_drive,right,0.78,2.6,94.6,80.0,20.0,0
CIN,PIT,CIN,"winker, jesse","holland, derek",ground_ball,left,-1.22,1.41,80.7,79.9,6.0,0
CHC,MIL,CHC,"happ, ian","suter, brent",ground_ball,center,0.16,1.61,88.7,,,0
COL,LAD,COL,"arenado, nolan","floro, dylan",ground_ball,right,0.07,1.45,93.4,99.7,5.0,0
SEA,LAD,SEA,"lewis, kyle","kershaw, clayton",line_drive,center,0.17,2.54,87.1,106.7,18.0,0
SEA,LAA,SEA,"seager, kyle","andriese, matt",ground_ball,center,0.0,1.6,85.4,92.2,-1.0,0
CWS,MIL,CWS,"jimenez, eloy","houser, adrian",line_drive,right,-0.22,1.81,94.4,101.7,25.0,0
DET,CWS,DET,"stewart, christin","cease, dylan",popup,left,-0.36,3.69,82.3,92.7,,0
MIA,WSH,MIA,"dickerson, corey","romero, seth",fly_ball,center,0.17,2.04,81.4,73.4,39.0,0
MIA,PHI,MIA,"joyce, matt","eflin, zach",fly_ball,left,-1.03,1.97,94.6,74.0,26.0,0
WSH,TOR,WSH,"turner, trea","borucki, ryan",line_drive,center,0.98,2.09,84.6,,12.0,0
PIT,DET,DET,"stewart, christin","rodriguez, richard",fly_ball,center,0.07,2.72,95.1,97.6,43.0,0
OAK,LAA,OAK,"semien, marcus","ramirez, noe",popup,left,-0.45,2.37,87.6,96.2,65.0,0
COL,SF,COL,"story, trevor","cueto, johnny",ground_ball,center,0.15,2.3,91.6,106.4,,0
TOR,TB,TOR,"grichuk, randal","chirinos, yonny",fly_ball,center,0.11,2.4,87.5,105.3,,1
CIN,DET,DET,"goodrum, niko","iglesias, raisel",line_drive,left,0.01,1.77,95.2,100.8,,0
PIT,MIN,PIT,"frazier, adam","dobnak, randy",line_drive,left,-0.25,1.91,82.8,95.8,22.0,0
SD,LAD,LAD,"seager, corey","strahm, matt",fly_ball,left,-0.02,2.86,92.8,99.1,,0
LAD,HOU,HOU,"tucker, kyle","urias, julio",fly_ball,center,0.68,3.26,92.7,75.8,34.0,0
SF,SEA,SF,"crawford, brandon","newsome, ljay",line_drive,center,-0.58,2.66,90.0,100.1,,0
BAL,TOR,BAL,"severino, pedro","pearson, nate",ground_ball,left,-0.07,2.25,99.4,,-28.0,0
CLE,KC,KC,"franco, maikel","karinchak, james",popup,center,0.51,2.28,81.8,63.4,34.0,0
BOS,WSH,WSH,"harrison, josh","osich, josh",line_drive,center,-0.22,2.69,87.0,82.1,28.0,0
DET,MIL,DET,"candelario, jeimer","houser, adrian",ground_ball,center,-0.75,1.87,87.3,80.9,-18.0,0
BAL,NYY,NYY,"ford, mike","valdez, cesar",ground_ball,left,-0.61,2.42,75.3,84.4,-29.0,0
PHI,BOS,PHI,"hoskins, rhys","valdez, phillips",fly_ball,right,-0.58,2.68,86.1,66.8,32.0,0
SF,COL,SF,"ruf, darin","freeland, kyle",ground_ball,center,0.44,2.02,90.7,100.7,-27.0,0
ARI,TEX,ARI,"locastro, tim","martin, brett",fly_ball,left,-0.62,1.63,88.4,98.0,38.0,1
OAK,HOU,HOU,"gurriel, yuli","manaea, sean",ground_ball,center,1.07,2.79,91.4,100.4,-10.0,0
KC,MIN,MIN,"buxton, byron","singer, brady",fly_ball,center,-0.67,2.31,93.7,75.7,,0
KC,MIN,MIN,"cave, jake","junis, jakob",ground_ball,center,0.81,2.32,78.7,78.4,,0
CLE,CWS,CLE,"mercado, oscar","cishek, steve",line_drive,left,-0.45,2.73,92.5,,10.0,0
WSH,ATL,WSH,"gomes, yan","ynoa, huascar",line_drive,center,0.45,1.94,94.7,95.6,20.0,0
CWS,MIN,MIN,"cave, jake","detwiler, ross",ground_ball,center,0.16,2.6,89.9,91.3,,0
MIL,DET,MIL,"hiura, keston","turnbull, spencer",ground_ball,left,0.39,1.56,86.5,88.1,-21.0,0
ARI,LAD,ARI,"varsho, daulton","kolarek, adam",popup,center,1.04,3.0,89.9,61.0,39.0,0
HOU,LAA,LAA,"bemboom, anthony","valdez, framber",ground_ball,left,-0.26,2.73,90.3,42.4,-65.0,0
TEX,ARI,TEX,"chirinos, robinson","kelly, merrill",line_drive,center,0.66,2.28,89.7,98.7,22.0,0
NYY,BAL,NYY,"sanchez, gary","kremer, dean",line_drive,center,0.33,2.27,93.2,105.4,15.0,0
PIT,STL,STL,"edman, tommy","williams, trevor",ground_ball,right,0.41,1.19,82.6,84.5,,0
LAA,OAK,OAK,"canha, mark","teheran, julio",line_drive,center,1.07,2.23,91.3,76.6,18.0,0
LAA,SF,SF,"longoria, evan","canning, griffin",fly_ball,left,0.66,2.57,91.1,,,0
LAD,COL,COL,"story, trevor","floro, dylan",line_drive,center,0.39,2.29,89.2,101.2,,0
CIN,KC,CIN,"colon, christian","bubic, kris",ground_ball,left,1.49,2.76,80.5,,-48.0,0
STL,CLE,CLE,"hernandez, cesar","flaherty, jack",ground_ball,right,0.1,2.03,94.8,,-20.0,0
HOU,TEX,HOU,"tucker, kyle","montero, rafael",fly_ball,left,-0.48,3.15,95.3,90.6,,0
MIL,PIT,PIT,"newman, kevin","anderson, brett",ground_ball,center,0.15,1.93,83.9,52.4,,0
STL,MIN,MIN,"polanco, jorge","woodford, jake",fly_ball,center,-0.05,2.78,87.0,97.9,35.0,0
SF,TEX,SF,"solano, donovan","gibaut, ian",ground_ball,right,0.34,2.78,95.9,102.7,5.0,0
HOU,SEA,SEA,"lopes, tim","valdez, framber",line_drive,right,-0.47,3.09,93.7,74.4,24.0,0
LAD,HOU,LAD,"taylor, chris","castellanos, humberto",ground_ball,left,0.06,1.64,79.6,,4.0,0
TEX,SD,SD,"naylor, josh","garcia, luis",ground_ball,center,0.07,3.0,98.2,83.0,-3.0,0
ATL,TB,TB,"margot, manuel","soroka, mike",fly_ball,center,-0.3,3.05,91.6,83.0,41.0,0
NYM,TB,TB,"wendle, joey","diaz, edwin",fly_ball,left,-0.45,2.17,98.8,,,0
MIA,BAL,MIA,"sierra, magneuris","wojciechowski, asher",ground_ball,right,-0.39,1.22,77.4,,-8.0,0
LAA,HOU,HOU,"tucker, kyle","andriese, matt",line_drive,right,0.39,1.87,92.4,101.6,19.0,0
STL,KC,KC,"mcbroom, ryan","cabrera, genesis",fly_ball,left,-0.52,2.34,87.8,107.1,,1
PIT,MIL,MIL,"yelich, christian","musgrove, joe",ground_ball,center,-0.05,3.23,91.6,,,0
STL,PIT,STL,"wong, kolten","holmes, clay",ground_ball,left,-0.83,2.42,79.7,98.6,1.0,0
HOU,SEA,HOU,"correa, carlos","gerber, joey",fly_ball,right,0.41,2.29,92.8,95.6,29.0,0
CWS,KC,CWS,"anderson, tim","kennedy, ian",ground_ball,right,-0.18,1.8,80.4,96.5,,0
KC,MIN,MIN,"rosario, eddie","speier, gabe",line_drive,center,-0.25,2.43,78.3,,,0
COL,LAA,COL,"tapia, raimel","canning, griffin",fly_ball,left,-0.07,1.46,88.7,90.8,48.0,0
DET,MIN,DET,"cabrera, miguel","dobnak, randy",ground_ball,center,0.35,2.12,83.3,55.5,-42.0,0
ARI,COL,ARI,"smith, pavin","marquez, german",ground_ball,left,-0.46,3.35,93.4,103.6,-2.0,0
SF,TEX,SF,"flores, wilmer","allard, kolby",popup,right,-0.83,2.98,86.4,41.8,54.0,0
BOS,TB,BOS,"arauz, jonathan","loup, aaron",line_drive,right,0.19,2.37,91.0,94.5,14.0,0
MIA,ATL,MIA,"aguilar, jesus","dayton, grant",fly_ball,center,1.21,2.66,90.6,87.3,39.0,0
SD,LAD,SD,"profar, jurickson","stripling, ross",fly_ball,center,0.36,2.8,90.0,,36.0,0
COL,SD,COL,"mcmahon, ryan","perdomo, luis",ground_ball,center,-0.53,2.07,89.1,75.7,-19.0,0
CWS,DET,DET,"castro, harold","cease, dylan",line_drive,right,0.5,1.56,97.6,102.4,16.0,0
LAD,OAK,LAD,"pollock, aj","fiers, mike",fly_ball,left,-0.44,3.0,88.5,83.3,30.0,0
WSH,ATL,ATL,"acuna, ronald","suero, wander",popup,right,-0.34,2.76,91.8,68.4,59.0,0
DET,KC,DET,"castro, harold","singer, brady",ground_ball,center,0.66,0.98,84.0,72.3,8.0,0
PHI,WSH,PHI,"realmuto, j. t.","sanchez, anibal",ground_ball,center,0.94,2.11,88.2,91.9,,0
ARI,LAD,LAD,"turner, justin","weaver, luke",line_drive,center,0.46,3.09,89.6,103.0,28.0,0
NYY,TB,TB,"margot, manuel","cole, gerrit",line_drive,center,0.14,1.81,84.3,99.8,,0
COL,LAD,COL,"blackmon, charlie","treinen, blake",line_drive,left,-0.59,1.07,86.8,85.2,14.0,0
TEX,LAA,LAA,"simmons, andrelton","lynn, lance",ground_ball,left,-0.02,1.51,84.6,101.8,-38.0,0
TEX,SEA,TEX,"gallo, joey","misiewicz, anthony",fly_ball,center,-0.11,2.39,82.4,101.4,41.0,0
HOU,SEA,SEA,"moore, dylan","pressly, ryan",fly_ball,left,-0.61,2.12,78.6,97.3,43.0,0
CWS,PIT,CWS,"robert, luis","williams, trevor",ground_ball,center,0.38,2.75,92.7,114.5,,0
LAA,TEX,LAA,"ward, taylor","goody, nick",fly_ball,right,0.36,2.94,91.1,,,0
DET,CLE,CLE,"luplow, jordan","boyd, matt",fly_ball,right,0.04,2.74,91.2,94.1,66.0,0
OAK,LAA,LAA,"la stella, tommy","wendelken, j. b.",fly_ball,right,0.3,3.36,95.1,,45.0,0
LAD,SF,LAD,"betts, mookie","samardzija, jeff",fly_ball,center,0.3,2.19,87.0,100.0,31.0,1
HOU,SF,SF,"dubon, mauricio","mccullers, lance",ground_ball,left,0.31,1.47,83.9,81.7,-21.0,0
BAL,NYY,BAL,"alberto, hanser","king, mike",line_drive,center,0.81,1.07,80.2,,14.0,0
TEX,OAK,TEX,"taveras, leody","luzardo, jesus",line_drive,left,-0.3,1.26,86.0,74.4,19.0,0
TOR,PHI,TOR,"shaw, travis","guerra, deolis",ground_ball,center,-0.58,2.46,83.8,99.1,-11.0,0
SD,SF,SD,"machado, manny","webb, logan",ground_ball,left,0.54,1.72,87.3,100.9,-4.0,0
SD,TEX,SD,"garcia, greg","montero, rafael",ground_ball,center,0.14,1.77,94.9,9.8,58.0,0
STL,KC,KC,"mcbroom, ryan","wainwright, adam",ground_ball,left,-0.86,3.06,90.5,79.7,-9.0,0
ATL,LAD,ATL,"freeman, freddie","may, dustin",ground_ball,center,0.16,3.01,94.7,94.3,3.0,0
LAA,ARI,ARI,"walker, christian","canning, griffin",ground_ball,right,1.13,2.1,86.3,70.6,10.0,0
BAL,TB,TB,"lowe, brandon","scott, tanner",line_drive,center,-0.62,2.54,95.0,76.9,29.0,0
ATL,WSH,ATL,"acuna, ronald","harper, ryne",ground_ball,left,0.36,1.58,75.7,83.6,-7.0,0
CWS,DET,CWS,"robert, luis","norris, daniel",ground_ball,left,0.94,2.32,86.9,80.9,6.0,0
DET,MIN,DET,"schoop, jonathan","romo, sergio",popup,right,-0.28,2.39,85.8,88.5,78.0,0
STL,KC,STL,"edman, tommy","holland, greg",fly_ball,right,0.59,2.08,93.9,,30.0,0
STL,CHC,CHC,"happ, ian","miller, andrew",ground_ball,left,-0.15,1.89,82.3,98.9,-25.0,0
SF,TEX,TEX,"frazier, todd","watson, tony",ground_ball,left,0.84,2.35,87.9,,-6.0,0
BAL,TB,BAL,"sisco, chance","slegers, aaron",line_drive,left,-0.46,3.1,92.4,98.5,23.0,0
LAA,SD,LAA,"adell, jo","guerra, javy",ground_ball,center,-0.08,2.32,96.8,,-24.0,0
ARI,SEA,SEA,"ervin, phil","gallen, zac",ground_ball,left,0.06,1.82,81.9,97.2,2.0,0
BOS,ATL,ATL,"markakis, nick","leyer, robinson",ground_ball,center,0.24,2.81,93.4,100.9,8.0,0
OAK,SF,OAK,"murphy, sean","anderson, tyler",fly_ball,right,0.23,2.37,80.2,,61.0,0
SEA,SD,SEA,"marmolejos, jose","paddack, chris",ground_ball,center,-0.47,1.74,88.8,106.6,-14.0,0
PIT,MIN,MIN,"avila, alex","howard, sam",line_drive,left,0.62,2.23,89.7,82.3,,0
TB,LAD,LAD,"betts, mookie","yarbrough, ryan",popup,right,0.0,1.98,81.6,86.2,69.0,0
LAD,ATL,LAD,"betts, mookie","minter, a. j.",fly_ball,center,-0.49,1.81,86.4,96.2,38.0,0
LAD,COL,COL,"story, trevor","may, dustin",line_drive,right,1.0,2.47,95.6,83.5,29.0,0
COL,HOU,COL,"hilliard, sam","taylor, blake",line_drive,left,-0.21,1.96,95.0,,36.0,0
ARI,SEA,SEA,"ervin, phil","gallen, zac",fly_ball,left,-0.35,3.26,94.1,,54.0,0
TOR,NYY,NYY,"wade, tyler","borucki, ryan",popup,center,0.22,3.09,85.4,78.3,,0
LAA,ARI,LAA,"walsh, jared","rondon, hector",popup,left,1.0,2.13,94.9,59.9,,0
ATL,WSH,ATL,"camargo, johan","hudson, daniel",ground_ball,right,-0.23,2.23,96.6,106.3,-4.0,0
CIN,CWS,CWS,"jimenez, eloy","lorenzen, michael",fly_ball,center,0.71,1.19,83.7,74.6,43.0,0
COL,SD,COL,"story, trevor","quantrill, cal",popup,center,-1.18,2.38,96.0,69.2,56.0,0
TB,HOU,TB,"adames, willy","mccullers, lance",popup,left,-0.93,3.11,92.7,,54.0,0
CLE,MIL,MIL,"arcia, orlando","civale, aaron",ground_ball,center,1.52,2.02,82.0,46.4,,0
BOS,TB,TB,"díaz, yandy","covey, dylan",ground_ball,left,-0.05,2.57,91.5,87.3,-26.0,0
ATL,BOS,ATL,"inciarte, ender","kickham, mike",line_drive,center,-0.27,2.5,89.2,83.8,,0
ARI,HOU,ARI,"kelly, carson","bielak, brandon",ground_ball,center,0.69,2.41,81.4,,-17.0,0
ATL,MIA,ATL,"markakis, nick","urena, jose",ground_ball,center,0.36,1.98,94.2,,-10.0,0
PHI,ATL,PHI,"kingery, scott","wright, kyle",line_drive,left,0.16,2.93,89.2,87.1,25.0,0
TOR,NYY,TOR,"gurriel, lourdes","happ, j. a.",line_drive,center,-0.49,2.83,93.0,92.2,,0
SF,COL,SF,"duggar, steven","gonzalez, chi chi",line_drive,center,-0.15,2.44,84.9,103.7,14.0,0
LAD,ARI,LAD,"smith, will","gallen, zac",ground_ball,center,0.26,2.68,93.1,96.4,3.0,0
NYM,MIA,MIA,"berti, jon","wilson, justin",line_drive,right,-0.62,2.76,95.0,62.6,24.0,0
BOS,TOR,BOS,"moreland, mitch","roark, tanner",fly_ball,right,-0.17,2.69,77.2,102.8,35.0,1
OAK,COL,OAK,"olson, matt","marquez, german",ground_ball,right,-0.39,1.98,86.6,80.2,-10.0,0
CWS,MIN,MIN,"kepler, max","giolito, lucas",fly_ball,right,0.64,2.86,96.0,,31.0,1
MIL,CIN,MIL,"mathias, mark","reed, cody",line_drive,left,-0.3,2.38,88.2,86.6,13.0,0
TB,BOS,BOS,"bradley, jackie","snell, blake",line_drive,left,-0.57,2.69,95.8,102.2,20.0,0
COL,LAD,LAD,"mckinstry, zach","tinoco, jesus",ground_ball,left,0.51,1.51,93.0,94.0,2.0,0
BAL,BOS,BAL,"nunez, renato","eovaldi, nathan",fly_ball,left,-0.55,2.64,92.0,97.3,53.0,0
CLE,DET,DET,"castro, willi","allen, logan",ground_ball,left,-0.23,2.53,82.5,106.0,5.0,0
LAD,ATL,LAD,"turner, justin","anderson, ian",fly_ball,center,-0.37,2.67,79.0,92.0,46.0,0
KC,CLE,CLE,"naquin, tyler","barlow, scott",line_drive,center,0.92,1.54,98.0,,23.0,1
OAK,COL,COL,"hampson, garrett","luzardo, jesus",line_drive,left,-0.1,2.27,94.2,101.9,10.0,0
SF,LAD,LAD,"muncy, max","suarez, andrew",popup,left,-0.7,2.45,82.0,87.6,60.0,0
NYM,ATL,NYM,"cano, robinson","tomlin, josh",popup,left,1.07,2.83,86.2,58.0,52.0,0
